2023-05-06-23:50:02 -194.14 -99.968
2023-05-07-00:00:02 -194.13 -99.969
2023-05-07-00:10:02 -194.12 -99.969
2023-05-07-00:20:02 -194.12 -99.969
2023-05-07-00:30:02 -194.12 -99.969
2023-05-07-00:40:02 -194.11 -99.969
2023-05-07-00:50:02 -194.11 -99.97
2023-05-07-01:00:02 -194.11 -99.971
2023-05-07-01:10:02 -194.11 -99.97
2023-05-07-01:20:02 -194.1 -99.97
2023-05-07-01:30:02 -194.1 -99.969
2023-05-07-01:40:02 -194.1 -99.97
2023-05-07-01:50:02 -194.09 -99.971
2023-05-07-02:00:02 -194.09 -99.969
2023-05-07-02:10:02 -194.09 -99.969
2023-05-07-02:20:02 -194.09 -99.969
2023-05-07-02:30:02 -194.09 -99.97
2023-05-07-02:40:02 -194.1 -99.97
2023-05-07-02:50:02 -194.1 -99.97
2023-05-07-03:00:02 -194.1 -99.972
2023-05-07-03:10:02 -194.1 -99.97
2023-05-07-03:20:02 -194.11 -99.968
2023-05-07-03:30:02 -194.1 -99.97
2023-05-07-03:40:02 -194.1 -99.969
2023-05-07-03:50:02 -194.1 -99.969
2023-05-07-04:00:02 -194.09 -99.97
2023-05-07-04:10:02 -194.08 -99.968
2023-05-07-04:20:02 -194.06 -99.969
2023-05-07-04:30:02 -194.07 -99.969
2023-05-07-04:40:02 -194.06 -99.97
2023-05-07-04:50:02 -193.99 -99.97
2023-05-07-05:00:02 -194.25 -99.967
2023-05-07-05:10:02 -194.22 -99.975
2023-05-07-05:20:02 -194.22 -99.965
2023-05-07-05:30:02 -194.21 -99.974
2023-05-07-05:40:02 -194.22 -99.969
2023-05-07-05:50:02 -194.22 -99.974
2023-05-07-06:00:02 -194.22 -99.968
2023-05-07-06:10:02 -194.23 -99.97
2023-05-07-06:20:02 -194.23 -99.969
2023-05-07-06:30:02 -194.23 -99.971
2023-05-07-06:40:02 -194.23 -99.97
2023-05-07-06:50:02 -194.24 -99.971
2023-05-07-07:00:02 -194.23 -99.969
2023-05-07-07:10:02 -194.23 -99.969
2023-05-07-07:20:02 -194.23 -99.969
2023-05-07-07:30:02 -194.23 -99.969
2023-05-07-07:40:02 -194.21 -99.97
2023-05-07-07:50:02 -194.21 -99.969
2023-05-07-08:00:02 -194.21 -99.97
2023-05-07-08:10:02 -194.2 -99.967
2023-05-07-08:20:02 -194.21 -99.972
2023-05-07-08:30:02 -194.21 -99.969
2023-05-07-08:40:02 -194.2 -99.969
2023-05-07-08:50:02 -194.2 -99.968
2023-05-07-09:00:02 -194.2 -99.97
